8089,2026-08-03 18:31:48,"Café Moka ","Bebidas Frías",1,4.00,"Tarjeta de Crédito"
4961,2026-08-03 18:33:34,"Café capuchino","Bebidas Frías",1,4.50,"Tarjeta de Débito"
3736,2026-08-03 21:54:23,"Chesse cake de zarzamora","Repostería",2,10.00,"Efectivo"
8491,2026-08-04 06:31:58,"Capuchino vainilla","Bebidas Calientes",1,5.00,"Transferencia"
1001,2026-07-05 08:14:22,Café Americano,Bebidas Calientes,1,3.50,Tarjeta de Crédito
1002,2026-07-05 09:40:10,Muffin de Arándanos,Repostería,2,6.00,Efectivo
1003,2026-07-05 11:05:43,Sandwich de Pavo,Comida,1,6.50,Tarjeta de Débito
1004,2026-07-05 15:30:19,Frappuccino Caramel,Bebidas Frías,1,5.50,Tarjeta de Crédito
1005,2026-07-06 08:45:00,Capuchino,Bebidas Calientes,1,4.50,Transferencia
1006,2026-07-06 10:12:31,Croissant de Mantequilla,Repostería,1,2.80,Efectivo
1007,2026-07-06 17:20:05,Iced Coffee,Bebidas Frías,2,9.00,Tarjeta de Crédito
1008,2026-07-07 12:00:14,Toast de Aguacate,Comida,1,5.80,Efectivo
1009,2026-07-07 14:15:30,Latte,Bebidas Calientes,2,9.60,Tarjeta de Crédito
1010,2026-07-07 16:40:55,Tarta de Queso,Repostería,1,4.50,Transferencia
1011,2026-07-08 07:30:11,Espresso Double,Bebidas Calientes,1,3.80,Efectivo
1012,2026-07-08 09:10:44,Smoothie de Mango,Bebidas Frías,1,5.00,Tarjeta de Crédito
1013,2026-07-08 13:22:18,Panini Jamón y Queso,Comida,2,12.00,Tarjeta de Débito
1014,2026-07-08 18:05:00,Brownie de Chocolate,Repostería,1,3.20,Efectivo
1015,2026-07-09 08:20:15,Café Americano,Bebidas Calientes,2,7.00,Tarjeta de Crédito
1016,2026-07-09 10:50:33,Limonada Menta,Bebidas Frías,1,3.80,Efectivo
1017,2026-07-09 15:15:40,Muffin de Arándanos,Repostería,1,3.00,Transferencia
1018,2026-07-10 09:00:22,Capuchino,Bebidas Calientes,1,4.50,Tarjeta de Crédito
1019,2026-07-10 11:30:10,Sandwich de Pavo,Comida,1,6.50,Efectivo
